./components/tyk-bootstrap         1 chart(s) linted, 0 chart(s) failed 
./components/tyk-dashboard         1 chart(s) linted, 0 chart(s) failed 
./components/tyk-dev-portal        1 chart(s) linted, 0 chart(s) failed 
./components/tyk-gateway           1 chart(s) linted, 0 chart(s) failed 
./components/tyk-mdcb              1 chart(s) linted, 0 chart(s) failed 
./components/tyk-operator          [INFO] Chart.yaml: icon is recommended 1 chart(s) linted, 0 chart(s) failed 
./components/tyk-pump              1 chart(s) linted, 0 chart(s) failed 
./tyk-control-plane                1 chart(s) linted, 0 chart(s) failed 
./tyk-data-plane                   1 chart(s) linted, 0 chart(s) failed 
./tyk-oss                          1 chart(s) linted, 0 chart(s) failed 
./tyk-stack                        1 chart(s) linted, 0 chart(s) failed 
